economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Bangladesh,BGD,80,56.5,85.75,10,business_entry
Barbados,BRB,81.85,57.33,95.5,10,business_entry
Bosnia and Herzegovina,BIH,87.37,31.08,48.75,15,business_entry
Botswana,BWA,96.25,89,92.25,20,business_entry
Bulgaria,BGR,93.75,84,98.5,20,business_entry
Cambodia,KHM,81.56,40.83,9,10,business_entry
Central African Republic,CAF,72.78,17.5,48.5,5,business_entry
Chad,TCD,77.86,13.33,51.25,10,business_entry
Colombia,COL,96.61,85,84.25,15,business_entry
Costa Rica,CRI,82.5,72,58.75,15,business_entry
Côte dIvoire,CIV,87.62,42.33,61.5,15,business_entry
Croatia,HRV,80.83,75.83,79.5,20,business_entry
El Salvador,SLV,62.23,34.83,40.5,5,business_entry
Estonia,EST,92.5,88.75,91,20,business_entry
"Gambia, The",GMB,78.75,8.33,52.75,5,business_entry
Georgia,GEO,83.75,65.5,91,20,business_entry
Ghana,GHA,71.87,38.83,12.25,15,business_entry
Greece,GRC,96.25,94.5,99,20,business_entry
"Hong Kong SAR, China",HKG,91.87,65.33,99.25,5,business_entry
Hungary,HUN,85,85.17,87.25,20,business_entry
Indonesia,IDN,80.42,84.25,26.5,17.5,business_entry
Iraq,IRQ,78.75,26.67,51.25,0,business_entry
Kyrgyz Republic,KGZ,80.98,50.5,63,20,business_entry
Lesotho,LSO,74.06,64,91.25,15,business_entry
Madagascar,MDG,78.21,18.83,90,0,business_entry
Mauritius,MUS,77.81,53.17,95.75,10,business_entry
Mexico,MEX,90.42,38.67,55.5,5,business_entry
Montenegro,MNE,95,57.17,87,10,business_entry
Morocco,MAR,94.11,47.33,88.75,12.5,business_entry
Nepal,NPL,75,53.33,70.75,15,business_entry
New Zealand,NZL,77.5,77.42,99,20,business_entry
North Macedonia,MKD,95,78.5,99,15,business_entry
Pakistan,PAK,90,87,97.5,17.5,business_entry
Paraguay,PRY,91.19,31.33,39.25,10,business_entry
Peru,PER,77.5,73.17,39,20,business_entry
Philippines,PHL,88.54,42.67,14.25,5,business_entry
Portugal,PRT,95,89,94,20,business_entry
Romania,ROM,91.25,86,61.25,15,business_entry
Rwanda,RWA,87.5,68.67,100,20,business_entry
Samoa,WSM,66.25,56.67,97.25,5,business_entry
Seychelles,SYC,81.04,30.17,52.25,10,business_entry
Sierra Leone,SLE,73.75,21.83,49.75,5,business_entry
Singapore,SGP,87.71,94,99,20,business_entry
Slovak Republic,SVK,90.62,86,80.25,20,business_entry
Tanzania,TZA,87.19,72.5,47.75,15,business_entry
Timor-Leste,TMP,85.77,23.5,40.5,10,business_entry
Togo,TGO,77.86,54.67,99.25,5,business_entry
Vanuatu,VUT,71.25,47,14,5,business_entry
Viet Nam,VNM,72.23,58.17,66,17.5,business_entry
West Bank and Gaza,WBG,85,40.92,61.5,2.5,business_entry
Bangladesh,BGD,36.83,18.33,66,0,business_insolvency
Barbados,BRB,59.42,30.83,46,0,business_insolvency
Bosnia and Herzegovina,BIH,66.28,26.67,90.75,0,business_insolvency
Botswana,BWA,57.53,13.33,44.5,0,business_insolvency
Bulgaria,BGR,67.28,66.67,65.25,20,business_insolvency
Cambodia,KHM,55.56,3.33,0,0,business_insolvency
Central African Republic,CAF,83.11,23.33,16,0,business_insolvency
Chad,TCD,71.56,11.67,43.5,0,business_insolvency
Colombia,COL,87.06,71.67,64.75,20,business_insolvency
Costa Rica,CRI,71.94,63.33,0,10,business_insolvency
Côte dIvoire,CIV,71.56,15,64.75,0,business_insolvency
Croatia,HRV,65.78,91.67,72,20,business_insolvency
El Salvador,SLV,39.78,0,14.25,0,business_insolvency
Estonia,EST,56.33,83.33,98,20,business_insolvency
Gambia,GMB,37,6.67,86.75,0,business_insolvency
Georgia,GEO,80.61,48.33,98,5,business_insolvency
Ghana,GHA,76.03,57.5,61.25,5,business_insolvency
Greece,GRC,70.22,36.67,24.25,0,business_insolvency
Hong Kong SAR China,HKG,65.06,26.67,49,0,business_insolvency
Hungary,HUN,73.5,65,58.75,10,business_insolvency
Indonesia,IDN,50.56,53.33,67,5,business_insolvency
Iraq,IRQ,20.22,0,0,0,business_insolvency
Kyrgyz Republic,KGZ,65.11,13.33,78.5,0,business_insolvency
Lesotho,LSO,49.72,8.33,53,0,business_insolvency
Madagascar,MDG,52.22,13.33,41.75,0,business_insolvency
Mauritius,MUS,78.56,31.25,73.25,0,business_insolvency
Mexico,MEX,67.44,33.33,61,0,business_insolvency
Montenegro,MNE,71.56,33.33,81,0,business_insolvency
Morocco,MAR,56.67,30.83,52.25,10,business_insolvency
Nepal,NPL,46.11,20,90,0,business_insolvency
New Zealand,NZL,64.89,26.67,87,0,business_insolvency
North Macedonia,MKD,73.78,40,66.5,10,business_insolvency
Pakistan,PAK,69.78,3.33,73.25,0,business_insolvency
Paraguay,PRY,38.17,53.33,44.5,20,business_insolvency
Peru,PER,60.06,41.67,83.25,0,business_insolvency
Philippines,PHL,71.94,18.33,46.25,0,business_insolvency
Portugal,PRT,69.56,76.67,91.5,20,business_insolvency
Romania,ROM,76.83,46.67,53.5,0,business_insolvency
Rwanda,RWA,73.78,68.33,98.5,10,business_insolvency
Samoa,WSM,30.22,15.83,24.5,0,business_insolvency
Seychelles,SYC,36.83,10.83,83.5,0,business_insolvency
Sierra Leone,SLE,58.44,18.33,44,0,business_insolvency
Singapore,SGP,93.17,76.67,99.25,10,business_insolvency
Slovak Republic,SVK,72.78,75,70,5,business_insolvency
Tanzania,TZA,36.28,36.67,45.75,10,business_insolvency
Timor-Leste,TMP,0,0,0,0,business_insolvency
Togo,TGO,84.78,43.33,50.25,10,business_insolvency
Vanuatu,VUT,47.67,16.67,0,0,business_insolvency
Vietnam,VNM,75.78,38.33,51.25,0,business_insolvency
West Bank and Gaza,WBG,30.97,5,0,0,business_insolvency
Bangladesh,BGD,61.55,63.45,75.73,12.5,business_location
Barbados,BRB,51.38,30.28,51.5,10,business_location
Bosnia and Herzegovina,BIH,70.29,26.93,94.27,7.5,business_location
Botswana,BWA,53.66,36.89,79.8,15,business_location
Bulgaria,BGR,77.71,51.14,85.67,10,business_location
Cambodia,KHM,48.14,14.45,84.4,5,business_location
Central African Republic,CAF,69.32,15.98,49.63,8.75,business_location
Chad,TCD,48.97,14.31,59.83,7.5,business_location
Colombia,COL,77.98,49.31,89.83,10,business_location
Costa Rica,CRI,74.46,77.28,67.23,12.5,business_location
Côte dIvoire,CIV,58.46,22.23,51.93,10,business_location
Croatia,HRV,87.07,70.47,71.2,20,business_location
El Salvador,SLV,60.9,51.4,73.4,7.5,business_location
Estonia,EST,87.39,84.97,68.83,20,business_location
Gambia,GMB,43.56,6.41,50.3,0,business_location
Georgia,GEO,87.37,66.17,95.5,17.5,business_location
Ghana,GHA,87.58,33.86,59.73,5,business_location
Greece,GRC,77.88,46.7,49,10,business_location
Hong Kong SAR China,HKG,83.36,53.3,76.87,5,business_location
Hungary,HUN,86.63,65.51,68.43,7.5,business_location
Indonesia,IDN,69.15,51.36,83.77,17.5,business_location
Iraq,IRQ,52.99,18.08,74.33,5,business_location
Kyrgyz Republic,KGZ,73.01,34.89,94.2,12.5,business_location
Lesotho,LSO,36.37,18.91,82.5,5,business_location
Madagascar,MDG,59.48,18.48,49.37,10,business_location
Mauritius,MUS,74.89,56.71,74.33,5,business_location
Mexico,MEX,81.5,45.06,58.87,5,business_location
Montenegro,MNE,73.99,44.5,81.17,12.5,business_location
Morocco,MAR,84.55,67.82,79.8,17.5,business_location
Nepal,NPL,50.06,37.41,94.07,7.5,business_location
New Zealand,NZL,80.26,77.18,83.7,17.5,business_location
North Macedonia,MKD,65.64,39.23,62.17,10,business_location
Pakistan,PAK,41.69,31.82,89.23,2.5,business_location
Paraguay,PRY,60.79,32.57,88.13,5,business_location
Peru,PER,79.98,55.44,59.27,5,business_location
Philippines,PHL,67.03,40.17,73.63,5,business_location
Portugal,PRT,85.61,63.08,61.83,12.5,business_location
Romania,ROM,84.67,48.64,75.37,7.5,business_location
Rwanda,RWA,67.46,77.34,71.23,20,business_location
Samoa,WSM,46.66,40.52,93.13,17.5,business_location
Seychelles,SYC,56.28,40.9,76.3,15,business_location
Sierra Leone,SLE,44.75,18.82,75.5,7.5,business_location
Singapore,SGP,84.21,67.08,83.43,12.5,business_location
Slovak Republic,SVK,83.77,64.11,65.5,12.5,business_location
Tanzania,TZA,66.14,32.83,61.9,10,business_location
Timor-Leste,TMP,51.1,3.2,66.63,0,business_location
Togo,TGO,68.38,43.7,91.2,10,business_location
Vanuatu,VUT,64.22,18.38,72.3,5,business_location
Vietnam,VNM,78.23,48.36,62.17,10,business_location
West Bank and Gaza,WBG,45.5,27.17,92.47,5,business_location
Bangladesh,BGD,52.49,16.88,56.33,10,dispute_resolution
Barbados,BRB,59.07,59.44,66.38,19.73,dispute_resolution
Bosnia and Herzegovina,BIH,65.59,42.59,41.57,16.67,dispute_resolution
Botswana,BWA,79,43.14,46.05,14.59,dispute_resolution
Bulgaria,BGR,76.15,65.22,64.95,17.5,dispute_resolution
Cambodia,KHM,72.58,29.57,83.13,18.06,dispute_resolution
Central African Republic,CAF,67.13,12.43,35.82,0,dispute_resolution
Chad,TCD,83.44,17.99,46.27,5.56,dispute_resolution
Colombia,COL,81.25,80.05,57.27,27.92,dispute_resolution
Costa Rica,CRI,83.38,58.71,37.63,19.31,dispute_resolution
Croatia,HRV,82.31,70.18,63.02,21.12,dispute_resolution
Côte dIvoire,CIV,72.87,44.88,66.58,13.34,dispute_resolution
El Salvador,SLV,65.38,41.44,77.52,17.5,dispute_resolution
Estonia,EST,78.2,75.24,87.27,20,dispute_resolution
"Gambia, The",GMB,68.21,26.97,56.88,10.84,dispute_resolution
Georgia,GEO,84.95,68.98,92.33,22.23,dispute_resolution
Ghana,GHA,69.24,43.08,52.22,15.84,dispute_resolution
Greece,GRC,83.28,44.38,69.17,22.78,dispute_resolution
"Hong Kong SAR, China",HKG,74.63,76.7,66.7,25.63,dispute_resolution
Hungary,HUN,87.32,62.64,75.65,22.44,dispute_resolution
Indonesia,IDN,56.09,61.89,74.75,18.61,dispute_resolution
Iraq,IRQ,50.38,12.43,56.8,0,dispute_resolution
Kyrgyz Republic,KGZ,74.55,45.36,67.72,17.78,dispute_resolution
Lesotho,LSO,62.35,35.7,52.23,5.28,dispute_resolution
Madagascar,MDG,58.84,21.79,62.5,7.5,dispute_resolution
Mauritius,MUS,55.27,51.78,46.9,11.6,dispute_resolution
Mexico,MEX,87.39,54.43,61.25,16.39,dispute_resolution
Montenegro,MNE,78.05,50.74,77.58,20,dispute_resolution
Morocco,MAR,55.95,29.6,45.45,8.75,dispute_resolution
Nepal,NPL,69.67,41.07,82.45,18.48,dispute_resolution
New Zealand,NZL,55.94,53.95,73.32,11.11,dispute_resolution
North Macedonia,MKD,71.79,53.39,58.1,19.73,dispute_resolution
Pakistan,PAK,58.02,26.64,41.32,10.9,dispute_resolution
Paraguay,PRY,84.65,56.23,45.95,24.03,dispute_resolution
Peru,PER,68.64,61.23,39.97,21.95,dispute_resolution
Philippines,PHL,80.57,62.39,45.68,21.39,dispute_resolution
Portugal,PRT,89.96,65.16,62.1,21.05,dispute_resolution
Romania,ROM,75.93,60.22,87.12,20.28,dispute_resolution
Rwanda,RWA,79.77,74.19,94.63,20.28,dispute_resolution
Samoa,WSM,48.09,37.7,57.67,11.11,dispute_resolution
Seychelles,SYC,48.45,13.49,51.58,1.67,dispute_resolution
Sierra Leone,SLE,60.56,21.03,45.18,0,dispute_resolution
Singapore,SGP,62.99,63.17,87.07,26.53,dispute_resolution
Slovak Republic,SVK,79.41,75.24,80.28,22.23,dispute_resolution
Tanzania,TZA,71.53,35.98,82.88,4.17,dispute_resolution
Timor-Leste,TMP,60.35,7.8,41.25,0,dispute_resolution
Togo,TGO,94.59,53.58,60.27,11.95,dispute_resolution
Vanuatu,VUT,47.3,30.63,51.2,0,dispute_resolution
Viet Nam,VNM,79.87,42.65,70.18,20.28,dispute_resolution
West Bank and Gaza,WBG,52.79,35.16,21.58,8.34,dispute_resolution
Bangladesh,BGD,74.22,48.19,61.93,23.75,financial_services
Barbados,BRB,64.94,30.28,88.9,1.67,financial_services
Bosnia and Herzegovina,BIH,57.98,20.56,90.7,1.67,financial_services
Botswana,BWA,81.62,46.11,80.17,12.5,financial_services
Bulgaria,BGR,77.24,41.11,87.33,14.17,financial_services
Cambodia,KHM,81.87,83.61,92.6,48.33,financial_services
Central African Republic,CAF,77.85,8.33,15.77,0,financial_services
Chad,TCD,76.32,36.25,20.2,27.92,financial_services
Colombia,COL,79.14,52.78,93.67,18.33,financial_services
Costa Rica,CRI,76.76,53.33,68.33,14.17,financial_services
Côte dIvoire,CIV,53.51,42.78,30.27,10,financial_services
Croatia,HRV,73.92,37.78,78.13,13.33,financial_services
El Salvador,SLV,70.15,85.28,57.53,45,financial_services
Estonia,EST,70.78,23.06,90.8,1.67,financial_services
"Gambia, The",GMB,56.4,15.83,54.37,14.17,financial_services
Georgia,GEO,76.39,50.28,98.23,18.33,financial_services
Ghana,GHA,75.14,44.44,60,18.33,financial_services
Greece,GRC,65.28,41.11,69.5,10,financial_services
"Hong Kong SAR, China",HKG,80.28,51.67,77.93,14.17,financial_services
Hungary,HUN,99.44,61.94,80.7,35,financial_services
Indonesia,IDN,69.37,40.28,59.87,1.67,financial_services
Iraq,IRQ,69.31,32.22,30.63,8.33,financial_services
Kyrgyz Republic,KGZ,70.76,54.44,86.67,22.5,financial_services
Lesotho,LSO,60.94,41.11,60.83,12.5,financial_services
Madagascar,MDG,47.85,48.33,55.8,10,financial_services
Mauritius,MUS,78.13,42.78,59.6,10,financial_services
Mexico,MEX,88.99,83.06,80.87,50,financial_services
Montenegro,MNE,63.75,50.83,74.9,18.33,financial_services
Morocco,MAR,73.74,68.33,45.9,29.17,financial_services
Nepal,NPL,84.61,77.36,49.77,47.92,financial_services
New Zealand,NZL,77.47,80.83,96.8,45.83,financial_services
North Macedonia,MKD,73.72,49.44,97.1,14.17,financial_services
Pakistan,PAK,83.26,61.11,59.53,29.17,financial_services
Paraguay,PRY,59.87,47.78,84.03,14.17,financial_services
Peru,PER,83.72,62.5,89,18.33,financial_services
Philippines,PHL,77.89,41.94,62.27,1.67,financial_services
Portugal,PRT,72.31,48.89,92.17,21.67,financial_services
Romania,ROM,88.89,59.17,72.2,18.33,financial_services
Rwanda,RWA,86.56,47.22,74.07,14.17,financial_services
Samoa,WSM,72.53,13.33,70.4,12.5,financial_services
Seychelles,SYC,74.21,33.06,60.93,14.17,financial_services
Sierra Leone,SLE,68.54,20,36.17,18.33,financial_services
Singapore,SGP,74.1,52.22,93.67,29.17,financial_services
Slovak Republic,SVK,69.35,51.11,76.13,18.33,financial_services
